true_reward,value_loss,policy_loss,fps,approxkl,ep_reward_mean,n_updates,policy_entropy,explained_variance,time_elapsed,clipfrac,ep_len_mean,serial_timesteps,total_timesteps
0.15109798,0.0010602701,0.0011062967,8426,0.025520964,4.974724495248847,8477,-8.043624,0.9998253418016247,56872.52968001366,0.29737604,48.2,4238500,423850000
0.14794408,0.006314546,0.0004853021,8062,0.07566487,5.299668984634946,8478,-8.046541,0.9989816718734801,56879.05030822754,0.36206004,48.06,4239000,423900000
0.14801127,0.0011800063,0.001430601,8112,0.026805742,4.070690469205966,8479,-8.053494,0.9998028857808094,56885.82869696617,0.309428,44.36,4239500,423950000
0.15280958,0.0011689196,0.0011239842,8261,0.025092965,4.9652407000175485,8480,-8.06058,0.9997983310895506,56892.29633426666,0.29527798,47.88,4240000,424000000
0.15203466,0.0012231967,0.0026948673,7582,0.029583525,5.83926316359727,8481,-8.060585,0.9997973713034298,56898.72890853882,0.327426,50.87,4240500,424050000
0.15051341,0.0011612303,0.000855762,8129,0.02780107,5.186233034588571,8482,-8.056219,0.9997883740288671,56905.91040062904,0.31120202,50.08,4241000,424100000
0.15224835,0.0011930448,-0.0005198267,8086,0.026414214,5.556780108068761,8483,-8.059232,0.9998052488226676,56912.588165044785,0.30639794,50.62,4241500,424150000
0.15081899,0.0011659842,0.001770834,7959,0.028614862,5.846559249287529,8484,-8.056848,0.9998061491496628,56919.199749946594,0.31975806,50.72,4242000,424200000
0.14872776,0.004309827,-0.00012056896,7908,0.07216548,5.753142710728971,8485,-8.057645,0.9992716249544173,56925.909465551376,0.34235793,52.61,4242500,424250000
0.1470272,0.0012329037,0.0028274737,8174,0.029238887,5.371718097790731,8486,-8.063986,0.9997986276721349,56932.761204242706,0.321722,49.99,4243000,424300000
0.14725286,0.0013828278,0.0021581952,8010,0.027944826,4.142034725285157,8487,-8.070496,0.9997575010202127,56939.38217711449,0.315586,42.37,4243500,424350000
0.14975531,0.0010207392,0.0023452379,7960,0.027989926,4.618939445902942,8488,-8.070895,0.999816297495272,56945.98255825043,0.31673196,45.79,4244000,424400000
0.14865555,0.0012776704,0.0007626724,7838,0.025826976,4.974316527943374,8489,-8.071704,0.9997846844344167,56952.539536476135,0.2977041,48.11,4244500,424450000
